Solusi alternatif warga gunakan transportasi massal MRT dan juga kelak LRT yg terbukti memdapat respon positif masyarakat, smoga dgn pelayanan, tiket yg terjangkau dan fasilitas yg terintegrasi dgn moda transportasi yg lain smakin menarik minat pengendara kendaraan pribadi beralih ketransport massal ini u.kurangi kemacetan lalin di Ibukota dan sekitarnya.;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Mantap MRT banyak membantu;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Wih mantap semoga makin banyak lagi penumpangnya.;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Seneng banget semoga terus berlanjut sampe kedestinasi lainnya;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
gak apa2... itu artinya MRT berhasil menarik minat masyarakat Jakarta utk berpindah dari kendaraan pribadi menjadi pengguna MRT.... yg penting pelayanannya lebih ditingkatkan lagi agar antriannya makin berkurang ????;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
MRT jd 10 line maka Jkt sudah jd setara metropolitan kelas dunia, peradaban baru tlh dimulai, smg pembangunannya bs bermanfaat krn biaya yg sgt tinggi.;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Good job, hebat buat MRT Jakarta;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
semoga macetnya kota jakarta bisa akan terurai, terima kasi bapak presiden dan pejabat2 yang telah terlibat sehingga proyek ini bisa dinikmati oleh seluruh lapisan masyarakat;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Saya salah satu pengguna setia MRT, asli nyaman hanya sj pada jam padat pulang kantor terjadi antrian krn gate pass sering error, msh harus banyak belajar dr system krl yg sdh baik menangani penumpang?;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Semoga kapan2 bisa cobain bareng2 yaa, senang banget ada MRT yaa;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Keren banget keretanya MRT Jakarta;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
mrt bagus banget tempatnya pun bersih semoga bisa terawat dengan baik.;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Kereta mrt nya sangat bagus Dan maju di Kota Jakarta Indonesia;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
MRT Jakarta ya hebat;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
MRT mantap jiwa;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Keren, kalau bisa mulai kerjain juga tuh MRT fase Timur-barat. Supaya kayak kota maju lainnya ??;Kumparan;Positif;Positif;Positif;Positif;4;0;Positif
Bagussss TEGAS WIBAWA;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Good job, hebat buat MRT Jakarta;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
bagus nih buat edukasi masyarakat u jaga kebersiham dan ketertiban umum biar lama2 jkt ky singapore kota yg bersih;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
luar biasaa.. indonesia semakin maju... seperti singapore. tinggal jawa timur yang akan menyusul punya kereta mrt;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Saya satu dari 83rb orang yang menjajal MRT tgl 6 Juni kemarin. MRT Jakarta TOP MARKOTOP, dari Bundaran HI sampai Dukuh Atas hanya 30 menit ????????????;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Ya betul, MRT sudah saya coba di H 2 bersama anak anak saya, mereka puas walaupun berdiri dari Dukuh atas sampai Haji Nawi baru dapat duduk, antusias banget, mau dan mau lagi... terimakasih MRT dan pihak manajemen, rapi bersih menyenangkan dan menyejukkan..dan yg terpenting adalah on time, hanya 30 menit dari Dukuh atas sampai Lebak bulus;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Masih ramai karena lebih enak dari pada transportasi lainnya dan lebih hemat buat yg make mobil pribadi;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Yang pasti feasibility study nya dan kajian investasi nya sangat tepat sasaran !! ?? dan intinya proyek tersebut dibutuhkan oleh masyarakat Jakarta;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
ya karena nyaman dan aman, klo semua transportasi masal dibuat nyaman dan aman masyarakat akan otomatis ramai2 menggunakannya gak perlu lagi pakai himbauan segala;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Joss terus MRT Jakarta! Mudah2an semakin mapan.?;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Murah meriah, pasti lakulah;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
setuju dengan harganya, kalau kemurahan nasibnya bisa kayak krl, kayak pepes.;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
Terimakasih pak Wiliam,,sblum kabar tarif diskon MRT ini di beritakan,,sy pun berharap pihak management MRT memperpanjang waktu tarif diskon MRT ini,,,dan berharap juga setelah per 12 mei,,pihak mrt memberlakukan tarif diskon rp 10 000 sebelum tarif normal rp 14000 di berlakukan,, terimakasih;Detikcom;Positif;Positif;Positif;Positif;4;0;Positif
mantap..sekali sy dr Jawa Timur ikut bangga Jakarta punya MRT. Indonesia maju;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Kita patut berbangga, dengan pemerintahan yg sekarang, kita bisa punya MRT, LRT, bandara yang megah. Terharu;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Semua pihak terlibat, semua punya andil masing2 atas beroperasinya MRT Jakarta. Sukses terus MRT Jakarta!!!;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Totalitas dan sukses selalu MRT Jakarta! Semoga fase 2 cepat jadi?;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Selamat telah menyelesaikan fase 1 dan semangat dlm melanjutkan pembangunan ke fase selanjutnya,, dan semoga mimpi saya agar bisa ikut berkontribusi dlm pembangunan MRT bs terwujud;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Kerja bagus MRT ??;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Terima kasih telah membangun MRT untuk Jakarta yang Lebih Baik;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Terima kasih MRT Jakarta telah memberikan pelayanan yang terbaik dan tidak kalah dengan dunia internasional, terus bertambah baik sehingga masyarakat dapat menikmati pelayanan yang diberikan.;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Saya bangga dgn Indonesia. Ini adalah awal Indonesia menuju masa kejayaannya;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Mantap...menuju jakarta yang lebih baik;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Terimakasih untuk semua orang-orang hebat yang sudah berkerja keras pagi,siang dan malam untuk terciptanya transportasi baru di Jakarta;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Terima kasih para pekerja ??????;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
MRT keren... Pak Jokowi keren;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
MANTAP ALHAMDULILLAH.. FASE 2 DAN SETERUSNNYA MASIH DINANTI YA PARA PAHLAWAN BANGSA;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
saya hanya bisa mengucapkan banyak terimakasih untuk para pekerja, dan kami akan menjaga dan merawat bersama MRT jakarta.;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Hebat and keren MRT ,kami menunggu fase berikutnya;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Bangga rasanya punya mrt. Meskipun belum pernah naik full;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Wah keren sekali?? terima kasih sudah mewujudkan harapan dan angan2 warga jakarta untuk bisa memiliki fasilitas moda transportasi modern??;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Keren.....Semoga kota2 lain di Indonesia segera memiliki MRT juga;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Hore.. akhirnya Jakarta punya MRT;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Semangat untuk perubahan yang luar biasa! ????;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
Mantap betul, maju terus indonesia & terus berkembang??;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
MRT keren banget, Indonesia maju;Youtube;Positif;Positif;Positif;Positif;4;0;Positif
